               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.018115,            0.010076,                   0,             0.99521,                0.95,             0.99262,             0.64843,            0.010174,           0.0031086,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.020403,            0.011193,                   0,              0.9499,                   1,             0.99262,             0.76294,           0.0062627,           0.0029886,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.018837,            0.012189,                   0,             0.99164,                   1,               0.995,             0.65935,           0.0098895,           0.0032156,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.016743,            0.011465,                   0,             0.99067,                   1,               0.995,             0.68802,           0.0073135,            0.003189,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.029362,            0.013141,                   0,             0.99049,                   1,               0.995,             0.72951,           0.0070893,           0.0030479,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.015798,            0.011045,                   0,             0.94288,                   1,             0.99262,             0.72379,           0.0075735,           0.0030955,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.022709,            0.010967,                   0,             0.94983,                   1,             0.99262,             0.68079,           0.0087384,           0.0030194,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.017516,           0.0099149,                   0,             0.99419,                0.95,             0.97726,             0.72085,           0.0065263,           0.0029501,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.017718,            0.010661,                   0,             0.99806,                0.95,             0.97441,             0.70419,            0.008434,           0.0030258,                   0,            0.003565,            0.003565,            0.003565
                 132,            0.019465,           0.0099672,                   0,             0.94737,                   1,             0.99262,             0.72808,           0.0074564,           0.0030445,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.015212,            0.010851,                   0,             0.94927,             0.93606,               0.965,             0.67906,           0.0073809,           0.0030963,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.017952,            0.010462,                   0,             0.94908,                   1,             0.99262,             0.63786,           0.0087565,           0.0030997,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,             0.02113,            0.010195,                   0,             0.94451,                   1,             0.99024,             0.70259,           0.0070019,           0.0030589,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.017805,            0.010636,                   0,             0.94403,                   1,             0.99024,             0.68991,           0.0066877,           0.0030636,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,             0.01548,           0.0086934,                   0,              0.9432,                   1,             0.99024,             0.72959,           0.0079258,           0.0031155,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.017073,            0.010584,                   0,             0.94407,                   1,             0.99024,             0.68888,           0.0078405,           0.0031062,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.017311,           0.0096788,                   0,             0.94684,                   1,             0.99024,             0.73562,           0.0062227,           0.0031265,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.017771,           0.0088279,                   0,             0.94727,                   1,             0.99024,             0.68469,           0.0088784,           0.0031714,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.016667,            0.010251,                   0,             0.94757,                   1,             0.99024,             0.71103,           0.0077092,           0.0030658,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.014277,           0.0075475,                   0,             0.94966,                   1,             0.99024,             0.71179,           0.0066653,           0.0030632,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.016469,           0.0086118,                   0,              0.9503,                   1,             0.99262,             0.69453,           0.0078724,           0.0030699,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.016033,            0.011503,                   0,             0.95195,                   1,             0.99024,             0.71629,           0.0063987,           0.0029768,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.016934,            0.011129,                   0,             0.95231,             0.99861,             0.99262,             0.72051,           0.0066933,           0.0029713,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.014351,            0.011641,                   0,             0.95235,             0.99945,             0.99262,             0.78788,           0.0061188,           0.0029256,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.021098,           0.0094733,                   0,             0.95143,                   1,             0.99262,              0.6516,           0.0094198,           0.0029991,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.019865,           0.0080823,                   0,              0.9488,                   1,             0.99262,             0.69672,           0.0067828,           0.0028579,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.056184,            0.010358,                   0,             0.94748,                   1,             0.99262,             0.75322,           0.0064525,           0.0026888,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.017281,           0.0093808,                   0,             0.94374,                   1,             0.99262,             0.73811,           0.0072505,           0.0027527,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.014876,            0.012217,                   0,                   1,             0.98494,               0.995,             0.79845,           0.0052525,           0.0026283,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.014476,            0.010208,                   0,              0.9466,                   1,             0.99262,              0.7914,           0.0062382,           0.0026001,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.016003,           0.0099777,                   0,             0.99569,                0.95,             0.99262,             0.82539,           0.0054441,           0.0025531,                   0,            0.002476,            0.002476,            0.002476
                 154,            0.014293,            0.010827,                   0,             0.99466,                0.95,             0.99262,             0.78019,           0.0065826,            0.002481,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.028663,           0.0093357,                   0,             0.99394,                0.95,             0.99262,              0.8191,           0.0051991,           0.0024639,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.014851,           0.0084614,                   0,             0.99776,                0.95,             0.99262,             0.83153,           0.0053304,           0.0024285,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.017601,           0.0094445,                   0,                   1,             0.99741,               0.995,             0.82902,           0.0050539,            0.002454,                   0,            0.002278,            0.002278,            0.002278
                 158,            0.015358,            0.012543,                   0,                   1,             0.99535,               0.995,             0.84148,           0.0048115,           0.0024627,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.036605,           0.0097896,                   0,                   1,             0.99178,               0.995,             0.76803,           0.0062302,           0.0024222,                   0,            0.002179,            0.002179,            0.002179
                 160,            0.014037,           0.0092174,                   0,                   1,             0.99014,               0.995,             0.83824,           0.0047759,           0.0023226,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,            0.013518,             0.01023,                   0,                   1,             0.99069,               0.995,             0.86165,           0.0050749,           0.0023108,                   0,             0.00208,             0.00208,             0.00208
                 162,            0.013587,            0.010148,                   0,                   1,             0.99495,               0.995,             0.84194,           0.0046422,           0.0022427,                   0,           0.0020305,           0.0020305,           0.0020305
                 163,            0.013292,            0.010267,                   0,             0.99402,                0.95,             0.99262,             0.83122,           0.0050586,           0.0021851,                   0,            0.001981,            0.001981,            0.001981
                 164,            0.016545,           0.0095456,                   0,                   1,             0.99411,               0.995,             0.76789,           0.0065694,           0.0021908,                   0,           0.0019315,           0.0019315,           0.0019315
                 165,            0.028089,            0.011702,                   0,                   1,             0.99368,               0.995,             0.82553,           0.0052876,           0.0021431,                   0,            0.001882,            0.001882,            0.001882
                 166,            0.013443,           0.0083802,                   0,             0.99519,                0.95,             0.99045,             0.78584,           0.0063918,           0.0021774,                   0,           0.0018325,           0.0018325,           0.0018325
                 167,            0.018881,            0.010634,                   0,                   1,             0.99433,               0.995,             0.83613,           0.0047266,           0.0021147,                   0,            0.001783,            0.001783,            0.001783
                 168,            0.013422,            0.009949,                   0,                   1,             0.99464,               0.995,             0.83784,           0.0046871,           0.0021145,                   0,           0.0017335,           0.0017335,           0.0017335
